,tb_latitude,tb_longitude,collision_severity,type_of_collision,mviw,ped_action,DRIVE_DANGER_SCORE,WALK_DANGER_SCORE,AVERAGE_SCORE
0,37.7184718773,-122.437400947,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
1,37.7773881948,-122.426452239,Injury (Complaint of Pain),Not Stated,Not Stated,No Pedestrian Involved,0,0,0.0
2,37.7486637559,-122.407214417,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
3,37.7692193496,-122.45311311,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,2,10,6.0
4,37.7679434814,-122.407772051,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
5,37.7489493793,-122.408763188,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
6,37.7743252876,-122.417104136,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
7,37.7672000624,-122.405707667,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
8,37.7743088954,-122.4583711,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9,37.766013731,-122.430824396,Injury (Complaint of Pain),Other,Non-Collision,No Pedestrian Involved,1,0,0.5
10,37.7861795834,-122.440061199,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11,37.7376033383,-122.427108199,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
12,37.7881438726,-122.408373599,Injury (Other Visible),Other,Bicycle,No Pedestrian Involved,2,0,1.0
13,37.7797466685,-122.40716925,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
14,37.7305806744,-122.47195365,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
15,37.7808017706,-122.437260058,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
16,37.7381057153,-122.396509293,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
17,37.7323216638,-122.434932016,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
18,37.7843110126,-122.395160622,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
19,37.7870379471,-122.41827098,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
20,37.7822305756,-122.410292027,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
